date,area_type,area_name,daily_cases,cum_cases,new_deaths_28days,cum_deaths_28days,new_deaths_60days,cum_deaths_60days,new_first_episode,cum_first_episode,new_reinfections,cum_reinfections,new_virus_test,cum_virus_test,new_pcr_test,cum_pcr_test,new_lfd_test,cum_lfd_test,test_roll_pos_pct,test_roll_people,new_first_dose,cum_first_dose,new_second_dose,cum_second_dose,new_third_dose,cum_third_dose,new_admissions,cum_admissions,hospital_cases,ventilator_beds,trans_rate_min,trans_rate_max,trans_growth_min,trans_growth_max
2023-02-01,nation,England,1573.0,20535061.0,,,,,892.0,19088176.0,681.0,1446885.0,20351,539856513,19850,220134895,501.0,319721618.0,,,285.0,43942263.0,521.0,41937064.0,625.0,33356701.0,,,6055.0,136.0,,,,
2023-01-31,nation,England,2678.0,20533488.0,,,,,1564.0,19087284.0,1114.0,1446204.0,22623,539836162,7994,220115045,14629.0,319721117.0,,,257.0,43941978.0,492.0,41936543.0,587.0,33356076.0,,,6015.0,136.0,,,,
2023-01-30,nation,England,2886.0,20530810.0,30.0,180801.0,41.0,226052.0,1724.0,19085720.0,1162.0,1445090.0,24780,539813539,5610,220107051,19170.0,319706488.0,,,288.0,43941721.0,564.0,41936051.0,613.0,33355489.0,741.0,958745.0,5959.0,142.0,,,,
2023-01-29,nation,England,2118.0,20527924.0,44.0,180771.0,72.0,226011.0,1224.0,19083996.0,894.0,1443928.0,23254,539788759,10805,220101441,12449.0,319687318.0,,,111.0,43941433.0,214.0,41935487.0,247.0,33354876.0,705.0,958004.0,5834.0,145.0,,,,
2023-01-28,nation,England,1711.0,20525806.0,47.0,180727.0,80.0,225939.0,1119.0,19082772.0,592.0,1443034.0,24243,539765505,14535,220090636,9708.0,319674869.0,,,633.0,43941322.0,1242.0,41935273.0,1326.0,33354629.0,562.0,957299.0,5750.0,140.0,,,,
2023-01-27,nation,England,2189.0,20524095.0,63.0,180680.0,97.0,225859.0,1396.0,19081653.0,793.0,1442442.0,31287,539741262,18106,220076101,13181.0,319665161.0,,,407.0,43940689.0,670.0,41934031.0,774.0,33353303.0,558.0,956737.0,5708.0,131.0,,,,
2023-01-26,nation,England,2250.0,20521906.0,74.0,180617.0,119.0,225762.0,1400.0,19080257.0,850.0,1441649.0,37446,539709975,22770,220057995,14676.0,319651980.0,,,377.0,43940282.0,531.0,41933361.0,711.0,33352529.0,654.0,956179.0,5683.0,133.0,,,,
2023-01-25,nation,England,2366.0,20519656.0,77.0,180543.0,117.0,225643.0,1434.0,19078857.0,932.0,1440799.0,37658,539672529,22874,220035225,14784.0,319637304.0,,,338.0,43939905.0,502.0,41932830.0,669.0,33351818.0,706.0,955525.0,5632.0,126.0,,,,
2023-01-24,nation,England,2513.0,20517290.0,92.0,180466.0,135.0,225526.0,1507.0,19077423.0,1006.0,1439867.0,38045,539634871,23311,220012351,14734.0,319622520.0,,,314.0,43939567.0,468.0,41932328.0,601.0,33351149.0,695.0,954819.0,5639.0,136.0,,,,
2023-01-23,nation,England,2367.0,20514777.0,98.0,180374.0,150.0,225391.0,1436.0,19075916.0,931.0,1438861.0,37996,539596826,20267,219989040,17729.0,319607786.0,6.7,106970.0,266.0,43939253.0,416.0,41931860.0,535.0,33350548.0,617.0,954124.0,5817.0,142.0,,,,
2023-01-22,nation,England,1739.0,20512410.0,101.0,180276.0,143.0,225241.0,1011.0,19074480.0,728.0,1437930.0,26839,539558830,15212,219968773,11627.0,319590057.0,6.7,112588.0,139.0,43938987.0,303.0,41931444.0,225.0,33350013.0,590.0,953507.0,5697.0,146.0,,,,
